  MyForm.cpp
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(256,1): warning C4554: "|": проверьте приоритет операторов на ошибки; для уточнения приоритета используйте скобки
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(265,63): warning C4244: аргумент: преобразование "double" в "int", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(269,63): warning C4244: аргумент: преобразование "double" в "int", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(280,108): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(281,103): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(284,108): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(285,103): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(288,108): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(289,103): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(292,108): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(293,103): warning C4244: аргумент: преобразование "double" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(319,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(321,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(324,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(326,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(331,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(333,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(336,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(338,162): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(347,158): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(350,158): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(355,158): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(359,158): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(387,191): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(391,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(394,191): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(398,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(405,191): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(409,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(413,191): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(417,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(435,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(439,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(442,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(446,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(453,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(457,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(461,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(465,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(483,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(487,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(490,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(494,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(501,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(505,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(509,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(513,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(531,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(535,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(538,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(542,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(549,193): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
C:\Users\Баклажан Баклажанов\source\repos\our_calc\MyForm.h(553,195): warning C4244: аргумент: преобразование "int" в "float", возможна потеря данных
